sample,subgroup,event_time,estimate,std_error,ci_low,ci_high,overall_att,overall_se
age3_cno4,40 to >44,-20,0.001969515930966738,6.32531180519444e-4,-6.114114174564757e-5,0.004000173003679124,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-19,0.002433172515961872,6.756662174950283e-4,2.6403615461703016e-4,0.0046023088773067145,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-18,0.0018466584594031257,7.176815989850329e-4,-4.573626858275033e-4,0.0041506796046337545,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-17,0.0016205261169783026,3.8264090531472885e-4,3.921084758932731e-4,0.002848943758063332,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-16,0.0034948322250951494,0.0010820539417069391,2.1042224768094957e-5,0.006968622225422204,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-15,-4.18312793218649e-4,0.001178727851102562,-0.004202461498234006,0.0033658359117967086,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-14,7.306779600717941e-4,0.001078313906185162,-0.0027311051545579335,0.004192461074701522,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-13,5.271633729138132e-4,0.001101056103605416,-0.003007630536223364,0.004061957282050991,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-12,-0.001838490365152103,8.69869746837277e-4,-0.004631091280577409,9.541105502732031e-4,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-11,0.002666261680151623,8.279105376637129e-4,8.365214874916666e-6,0.00532415814542833,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-10,-7.436123931257655e-4,0.0010455014005865903,-0.004100055330671359,0.002612830544419828,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-9,0.002214372658946563,0.0010454791739558636,-0.0011419989229626954,0.005570744240855822,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-8,6.463266448383827e-4,9.005273735670988e-4,-0.002244696496192251,0.0035373497858690165,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-7,-0.001183920571178874,8.001994658398009e-4,-0.003752854332758576,0.001385013190400828,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-6,0.003855202077994959,0.0010442468039779918,5.027868556911016e-4,0.0072076173002988166,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-5,3.3588131882090826e-4,0.001290106910905226,-0.0038058350168598642,0.004477597654501681,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-4,-1.228915742012209e-4,7.490445514601151e-4,-0.002527599299360395,0.0022818161509579535,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-3,-9.650175935561559e-4,0.0010373215238277487,-0.004295200126704583,0.0023651649395922715,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-2,9.522942663883874e-4,8.905356753714887e-4,-0.001906651858940568,0.0038112403917173426,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,-1,-2.478448904449876e-5,7.472629252110705e-4,-0.002423772540525956,0.002374203562436958,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,0,0.002121965382947512,8.529124114300308e-4,-6.161962666525068e-4,0.004860127032547531,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,1,4.759116075125488e-4,0.001107224334618761,-0.003078684585399931,0.004030507800425029,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,2,0.002358197465898515,0.0011834458904237172,-0.0014410978756968307,0.0061574928074938605,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,3,0.002011985259917586,0.0017491250900580453,-0.00360334777752763,0.007627318297362802,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,4,0.003364734353944981,0.0015108495560146023,-0.001485646830751588,0.00821511553864155,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,5,0.004747328616324672,0.002335535782024171,-0.00275059781071009,0.012245255043359434,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,6,0.007645416385603979,0.0022672301460027883,3.667761015527628e-4,0.014924056669655194,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,7,0.010656212736464575,0.002339051657023144,0.0031469990612224205,0.01816542641170673,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,8,0.013905692930643402,0.00253256338004178,0.005775235653342212,0.02203615020794459,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,9,0.01293381651273431,0.0018457407236220694,0.0070083118573931085,0.018859321168075514,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,10,0.010760911918384417,0.001889036396856262,0.004696412273106659,0.016825411563662174,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,11,0.010128184434200244,0.002190781252490441,0.0030949731362495984,0.017161395732150888,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,12,0.012711614667934718,0.002031604530772915,0.006189419025372667,0.019233810310496768,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,13,0.013791705141195432,0.0027746253128435425,0.00488414028245507,0.022699269999935795,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,14,0.01372783236982627,0.0040578598991094965,7.006138579487113e-4,0.026755050881703827,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,15,0.01345694158228599,0.003251940845504572,0.003017018806395006,0.023896864358176974,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,16,0.01128955927302173,0.004020544203302855,-0.0016178621696414496,0.024196980715684907,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,17,0.014347380046907028,0.004853420223784911,-0.0012338788819896748,0.02992863897580373,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,18,0.016752039660559874,0.0036985779720661535,0.00487824790252101,0.028625831418598736,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,19,0.013364022128126771,0.004722139678229589,-0.0017957781018919875,0.02852382235814553,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,20,0.016113736818400597,0.004585812232523734,0.001391597687713051,0.030835875949088144,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,21,0.014057718573986135,0.005951716015025955,-0.005049472649002929,0.0331649097969752,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,22,0.011427836497452692,0.007904486094508407,-0.0139484628666176,0.03680413586152299,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,23,0.011444155779137702,0.0047058346523579505,-0.003663299337902102,0.026551610896177504,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,24,0.012051024328409408,0.005668360757192303,-0.006146492595302231,0.030248541252121047,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,25,0.014384421902602999,0.004996959504193371,-0.0016576507599884108,0.03042649456519441,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,26,0.015330323358856274,0.004817069697038738,-1.3423704748962047e-4,0.030794883765202168,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,27,0.019836209114095782,0.004880926638036064,0.0041666445073695844,0.035505773720821976,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,28,0.022490297003225128,0.005293913989290916,0.005494891534270258,0.03948570247218,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,29,0.019388855292090234,0.0050906842138102185,0.0030458919377307596,0.03573181864644971,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,30,0.021657331919080813,0.005126546825729524,0.005199236427709419,0.03811542741045221,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,31,0.023089866121665577,0.008099655903150293,-0.0029129999074236704,0.049092732150754825,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,32,0.024681834977747175,0.006135059146383498,0.004986045061301313,0.044377624894193037,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,33,0.027748291774607674,0.0067943904664274175,0.005935806508521543,0.04956077704069381,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,34,0.030272634737551932,0.0058414330083294535,0.01151949241277581,0.04902577706232805,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,35,0.025693385191641042,0.005630921907923896,0.007616060704923055,0.04377070967835903,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,36,0.02778023422630665,0.005705285098519776,0.009464176624789527,0.04609629182782378,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,37,0.026944437028857036,0.0070594800725968234,0.00428091690433376,0.049607957153380317,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,38,0.027184131929753667,0.007499195528612515,0.003108963924084128,0.051259299935423205,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,39,0.02900475310741622,0.004232533344068044,0.015416768775063493,0.04259273743976895,0.015785640742297123,0.003588520191938951
age3_cno4,40 to >44,40,0.036078338276862756,0.005444533172212901,0.018599389990563268,0.05355728656316225,0.015785640742297123,0.003588520191938951
