quarter,microdata_url,metadata_url
2011Q1,https://ine.es/ftp/microdatos/epa/datos_1t11.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2011Q2,https://ine.es/ftp/microdatos/epa/datos_2t11.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2011Q3,https://ine.es/ftp/microdatos/epa/datos_3t11.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2011Q4,https://ine.es/ftp/microdatos/epa/datos_4t11.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2012Q1,https://ine.es/ftp/microdatos/epa/datos_1t12.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2012Q2,https://ine.es/ftp/microdatos/epa/datos_2t12.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2012Q3,https://ine.es/ftp/microdatos/epa/datos_3t12.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2012Q4,https://ine.es/ftp/microdatos/epa/datos_4t12.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2013Q1,https://ine.es/ftp/microdatos/epa/datos_1t13.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2013Q2,https://ine.es/ftp/microdatos/epa/datos_2t13.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2013Q3,https://ine.es/ftp/microdatos/epa/datos_3t13.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2013Q4,https://ine.es/ftp/microdatos/epa/datos_4t13.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2014Q1,https://ine.es/ftp/microdatos/epa/datos_1t14.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2014Q2,https://ine.es/ftp/microdatos/epa/datos_2t14.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2014Q3,https://ine.es/ftp/microdatos/epa/datos_3t14.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2014Q4,https://ine.es/ftp/microdatos/epa/datos_4t14.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2015Q1,https://ine.es/ftp/microdatos/epa/datos_1t15.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2015Q2,https://ine.es/ftp/microdatos/epa/datos_2t15.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2015Q3,https://ine.es/ftp/microdatos/epa/datos_3t15.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2015Q4,https://ine.es/ftp/microdatos/epa/datos_4t15.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2016Q1,https://ine.es/ftp/microdatos/epa/datos_1t16.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2016Q2,https://ine.es/ftp/microdatos/epa/datos_2t16.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2016Q3,https://ine.es/ftp/microdatos/epa/datos_3t16.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2016Q4,https://ine.es/ftp/microdatos/epa/datos_4t16.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2017Q1,https://ine.es/ftp/microdatos/epa/datos_1t17.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2017Q2,https://ine.es/ftp/microdatos/epa/datos_2t17.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2017Q3,https://ine.es/ftp/microdatos/epa/datos_3t17.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2017Q4,https://ine.es/ftp/microdatos/epa/datos_4t17.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2018Q1,https://ine.es/ftp/microdatos/epa/datos_1t18.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2018Q2,https://ine.es/ftp/microdatos/epa/datos_2t18.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2018Q3,https://ine.es/ftp/microdatos/epa/datos_3t18.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2018Q4,https://ine.es/ftp/microdatos/epa/datos_4t18.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2019Q1,https://ine.es/ftp/microdatos/epa/datos_1t19.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2019Q2,https://ine.es/ftp/microdatos/epa/datos_2t19.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2019Q3,https://ine.es/ftp/microdatos/epa/datos_3t19.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2019Q4,https://ine.es/ftp/microdatos/epa/datos_4t19.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2020Q1,https://ine.es/ftp/microdatos/epa/datos_1t20.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2020Q2,https://ine.es/ftp/microdatos/epa/datos_2t20.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2020Q3,https://ine.es/ftp/microdatos/epa/datos_3t20.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2020Q4,https://ine.es/ftp/microdatos/epa/datos_4t20.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2005.xlsx
2021Q1,https://ine.es/ftp/microdatos/epa/datos_1t21.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2021Q2,https://ine.es/ftp/microdatos/epa/datos_2t21.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2021Q3,https://ine.es/ftp/microdatos/epa/datos_3t21.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2021Q4,https://ine.es/ftp/microdatos/epa/datos_4t21.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2022Q1,https://ine.es/ftp/microdatos/epa/datos_1t22.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2022Q2,https://ine.es/ftp/microdatos/epa/datos_2t22.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2022Q3,https://ine.es/ftp/microdatos/epa/datos_3t22.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2022Q4,https://ine.es/ftp/microdatos/epa/datos_4t22.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2023Q1,https://ine.es/ftp/microdatos/epa/datos_1t23.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2023Q2,https://ine.es/ftp/microdatos/epa/datos_2t23.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2023Q3,https://ine.es/ftp/microdatos/epa/datos_3t23.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2023Q4,https://ine.es/ftp/microdatos/epa/datos_4t23.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2024Q1,https://ine.es/ftp/microdatos/epa/datos_1t24.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2024Q2,https://ine.es/ftp/microdatos/epa/datos_2t24.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2024Q3,https://ine.es/ftp/microdatos/epa/datos_3t24.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2024Q4,https://ine.es/ftp/microdatos/epa/datos_4t24.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2025Q1,https://ine.es/ftp/microdatos/epa/datos_1t25.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2025Q2,https://ine.es/ftp/microdatos/epa/datos_2t25.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2025Q3,https://ine.es/ftp/microdatos/epa/datos_3t25.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2025Q4,https://ine.es/ftp/microdatos/epa/datos_4t25.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2021.xlsx
2026Q1,https://ine.es/ftp/microdatos/epa/datos_1t26.zip,https://ine.es/ftp/microdatos/epa/dr_EPA_2026.xlsx
